,nu_jed,nu_odz,nu_prec,nu_isti,kh_jed,kh_odz,kh_prec,kh_isti,cm_jed,cm_odz,cm_prec,cm_isti
tdbR00000088,0.47368421052631576,0.2,0.13793103448275862,False,0.9473684210526315,0.9,1.0,True,1.0,1.0,1.0,True
tdbR00000089,0.47368421052631576,0.2,0.13793103448275862,False,0.9473684210526315,0.9,1.0,True,1.0,1.0,1.0,True
tdbR00000091,0.47368421052631576,0.2,0.13793103448275862,False,0.9473684210526315,0.9,1.0,True,1.0,1.0,1.0,True
tdbR00000092,0.3157894736842105,0.0,0.0,False,0.7763157894736842,0.7619047619047619,0.7619047619047619,False,0.8026315789473685,0.5238095238095238,0.6111111111111112,False
tdbR00000098,0.3157894736842105,0.0,0.0,False,0.7763157894736842,0.7619047619047619,0.7619047619047619,False,0.8026315789473685,0.5238095238095238,0.6111111111111112,False
tdbR00000105,0.47297297297297297,0.38095238095238093,0.27586206896551724,False,0.918918918918919,0.8571428571428571,0.8571428571428571,False,1.0,1.0,1.0,True
tdbR00000108,0.47297297297297297,0.38095238095238093,0.27586206896551724,False,0.918918918918919,0.8571428571428571,0.8571428571428571,False,1.0,1.0,1.0,True
tdbR00000133,0.40540540540540543,0.18181818181818182,0.12903225806451613,False,0.7837837837837838,0.5454545454545454,0.631578947368421,False,1.0,1.0,1.0,True
tdbR00000135,0.4594594594594595,0.19047619047619047,0.13333333333333333,False,0.918918918918919,0.8571428571428571,1.0,True,1.0,1.0,1.0,True
tdbR00000147,0.39473684210526316,0.14285714285714285,0.0967741935483871,False,0.868421052631579,0.8095238095238095,0.85,False,0.8947368421052632,0.8095238095238095,0.9444444444444444,False
tdbR00000148,0.4868421052631579,0.14285714285714285,0.1,False,0.8947368421052632,0.8095238095238095,1.0,True,0.9736842105263158,0.9523809523809523,1.0,True
tdbR00000159,0.4935064935064935,0.0,0.0,False,0.974025974025974,0.9523809523809523,1.0,True,1.0,1.0,1.0,True
tdbR00000179,0.4605263157894737,0.19047619047619047,0.12903225806451613,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000197,0.42105263157894735,0.3333333333333333,0.21875,False,0.9473684210526315,0.9047619047619048,1.0,True,1.0,1.0,1.0,True
tdbR00000198,0.4473684210526316,0.19047619047619047,0.12903225806451613,False,0.9210526315789473,0.8571428571428571,0.9473684210526315,False,1.0,1.0,1.0,True
tdbR00000199,0.5263157894736842,0.19047619047619047,0.12903225806451613,False,0.7894736842105263,0.7619047619047619,0.7272727272727273,False,1.0,1.0,1.0,True
tdbR00000204,0.631578947368421,0.5714285714285714,0.4,False,0.7631578947368421,0.6666666666666666,0.6666666666666666,False,0.9473684210526315,1.0,0.9130434782608695,False
tdbR00000208,0.4473684210526316,0.19047619047619047,0.12903225806451613,False,0.9210526315789473,0.8571428571428571,0.9473684210526315,False,1.0,1.0,1.0,True
tdbR00000210,0.4588235294117647,0.10526315789473684,0.058823529411764705,False,0.9529411764705882,0.8947368421052632,1.0,True,1.0,1.0,1.0,True
tdbR00000213,0.375,0.0,0.0,False,0.8409090909090909,0.8571428571428571,0.8181818181818182,False,0.8409090909090909,0.8571428571428571,0.6923076923076923,False
tdbR00000215,0.4418604651162791,0.23809523809523808,0.14285714285714285,False,0.8372093023255814,0.8571428571428571,0.72,False,1.0,1.0,1.0,True
tdbR00000218,0.4642857142857143,0.25,0.14285714285714285,False,0.7023809523809523,0.5,0.5882352941176471,False,0.7261904761904762,0.6,0.6,False
tdbR00000219,0.45977011494252873,0.2,0.10526315789473684,False,0.8850574712643678,1.0,0.8,False,0.9310344827586207,0.85,0.8095238095238095,False
tdbR00000226,0.45977011494252873,0.14285714285714285,0.08571428571428572,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000252,0.38823529411764707,0.19047619047619047,0.12121212121212122,False,0.6588235294117647,0.5714285714285714,0.5217391304347826,False,0.7058823529411765,0.5714285714285714,0.5714285714285714,False
tdbR00000255,0.3764705882352941,0.09523809523809523,0.05714285714285714,False,0.8588235294117647,0.8571428571428571,0.75,False,1.0,1.0,1.0,True
tdbR00000266,0.4367816091954023,0.21052631578947367,0.1111111111111111,False,0.8160919540229885,0.8947368421052632,0.7391304347826086,False,0.9540229885057471,1.0,0.9047619047619048,False
tdbR00000270,0.39473684210526316,0.0,0.0,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000275,0.6363636363636364,0.7,0.4666666666666667,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000276,0.36363636363636365,0.05,0.03333333333333333,False,0.8701298701298701,0.8,0.8421052631578947,False,1.0,1.0,1.0,True
tdbR00000284,0.4342105263157895,0.0,0.0,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000287,0.39473684210526316,0.15,0.1,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000295,0.47368421052631576,0.38095238095238093,0.25806451612903225,False,1.0,1.0,1.0,True,0.8947368421052632,0.7619047619047619,0.8888888888888888,False
tdbR00000296,0.4666666666666667,0.38095238095238093,0.26666666666666666,False,0.9333333333333333,0.9523809523809523,0.9090909090909091,False,1.0,1.0,1.0,True
